district,city,landSize,buildingSize,bedrooms,bathrooms,floors,garages,electricity,furnishing,priceNumeric
Kasihan,Bantul,146.0,200.0,5.0,3.0,2.0,,2200 Watt,Unfurnished,2500000000
Kalasan,Sleman,702.0,500.0,7.0,5.0,2.0,1.0,2200 Watt,Furnished,4500000000
Sleman,Yogyakarta,148.0,200.0,4.0,4.0,2.0,,5500 Watt,Furnished,3600000000
Sleman,Yogyakarta,260.0,600.0,5.0,5.0,3.0,2.0,5500 Watt,Semi Furnished,8400000000
Sleman,Yogyakarta,91.0,95.0,3.0,2.0,2.0,1.0,2200 Watt,Furnished,600000000
Mlati,Sleman,482.0,360.0,5.0,5.0,2.0,,Lainnya,Semi Furnished,11500000000
Banguntapan,Bantul,242.0,100.0,4.0,2.0,,,4400 Watt,Semi Furnished,1750000000
Mlati,Sleman,90.0,155.0,3.0,2.0,2.0,,1300 Watt,Unfurnished,785000000
Ngaglik,Sleman,123.0,110.0,3.0,3.0,2.0,,Lainnya,Unfurnished,1300000000
Ngaglik,Sleman,123.0,110.0,3.0,3.0,2.0,,Lainnya,Unfurnished,1260000000
Ngaglik,Sleman,92.0,90.0,3.0,3.0,2.0,,Lainnya,Unfurnished,906700000
Ngemplak,Sleman,243.0,370.0,20.0,20.0,3.0,16.0,Lainnya,Furnished,3400000000
Maguwoharjo,Yogyakarta,132.0,60.0,3.0,2.0,1.0,,Lainnya,,876000000
Berbah,Sleman,86.0,36.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,544000000
Sleman,Yogyakarta,120.0,100.0,3.0,2.0,1.0,,1300 Watt,Furnished,950000000
Sleman,Sleman,98.0,54.0,3.0,1.0,1.0,,1300 Watt,Semi Furnished,786000000
Caturtunggal,Yogyakarta,112.0,100.0,3.0,2.0,1.0,,Lainnya,Furnished,1200000000
Kaliurang,Sleman,108.0,80.0,3.0,,1.0,,Lainnya,,950000000
Depok,Sleman,101.0,80.0,3.0,2.0,1.0,,Lainnya,Semi Furnished,951000000
Ngaglik,Sleman,126.0,79.0,1.0,1.0,1.0,,Lainnya,Furnished,1300000000
Gamping,Sleman,120.0,114.0,3.0,2.0,2.0,,2200 Watt,Furnished,2380000000
Mlati,Sleman,952.0,329.0,5.0,4.0,2.0,4.0,3300 Watt,Unfurnished,5400000000
Condong Catur,Sleman,432.0,500.0,12.0,5.0,2.0,,2200 Watt,Unfurnished,4800000000
Ngemplak,Sleman,160.0,270.0,4.0,3.0,1.0,,2200 Watt,Furnished,2200000000
Kalasan,Sleman,143.0,120.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,875000000
Gamping,Sleman,126.0,120.0,4.0,3.0,2.0,,2200 Watt,,2000000000
Ngemplak,Sleman,97.0,128.0,4.0,2.0,2.0,,Lainnya,,1900000000
Kalasan,Sleman,160.0,160.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,1250000000
Kalasan,Sleman,296.0,288.0,6.0,4.0,2.0,,4400 Watt,Furnished,4000000000
Depok,Sleman,312.0,600.0,25.0,24.0,3.0,4.0,900 Watt,Furnished,7500000000
Ngemplak,Sleman,150.0,160.0,3.0,3.0,2.0,,2200 Watt,Unfurnished,1500000000
Mlati,Sleman,144.0,153.0,4.0,4.0,2.0,,2200 Watt,,3080000000
Depok,Sleman,117.0,100.0,3.0,3.0,2.0,1.0,2200 Watt,Furnished,2100000000
Depok,Sleman,421.0,320.0,5.0,5.0,2.0,,Lainnya,Semi Furnished,5500000000
Sleman,Sleman,85.0,60.0,3.0,2.0,1.0,,2200 Watt,Semi Furnished,625000000
Ngaglik,Sleman,200.0,210.0,4.0,3.0,2.0,,2200 Watt,Unfurnished,2900000000
Ngaglik,Sleman,129.0,140.0,3.0,3.0,2.0,,2200 Watt,Unfurnished,2200000000
Ngaglik,Sleman,152.0,150.0,3.0,2.0,2.0,,2200 Watt,Unfurnished,2900000000
Umbulharjo,Yogyakarta,690.0,488.0,7.0,7.0,2.0,1.0,11000 Watt,Unfurnished,8000000000
Umbulharjo,Yogyakarta,420.0,200.0,4.0,3.0,1.0,,3500 Watt,,4900000000
Ngemplak,Sleman,126.0,136.0,4.0,4.0,2.0,,3500 Watt,Furnished,1900000000
Mlati,Sleman,124.0,127.0,4.0,2.0,1.0,,2200 Watt,Unfurnished,2450000000
Depok,Sleman,775.0,575.0,10.0,9.0,1.0,1.0,Lainnya,Semi Furnished,12980000000
Mlati,Sleman,160.0,80.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,1100000000
Depok,Sleman,172.0,150.0,3.0,2.0,1.0,,4400 Watt,Unfurnished,2200000000
Mlati,Sleman,119.0,180.0,4.0,3.0,2.0,,2200 Watt,Semi Furnished,1800000000
Depok,Sleman,365.0,365.0,7.0,4.0,2.0,1.0,5500 Watt,Semi Furnished,4500000000
Sleman,Yogyakarta,172.0,125.0,3.0,2.0,1.0,,2200 Watt,Unfurnished,1730000000
Sleman,Sleman,400.0,300.0,7.0,5.0,1.0,1.0,2200 Watt,Furnished,6500000000
Sleman,Sleman,89.0,150.0,2.0,3.0,2.0,1.0,Lainnya,Semi Furnished,650000000
Sleman,Sleman,135.0,115.0,3.0,2.0,2.0,,4400 Watt,Furnished,1500000000
Sleman,Sleman,178.0,111.0,4.0,2.0,2.0,,4400 Watt,Furnished,1850000000
Ngaglik,Sleman,231.0,231.0,5.0,5.0,2.0,1.0,Lainnya,Unfurnished,4250000000
Gamping,Sleman,280.0,276.0,4.0,3.0,1.0,1.0,3500 Watt,Unfurnished,3750000000
Ngaglik,Sleman,96.0,100.0,3.0,2.0,2.0,,2200 Watt,Unfurnished,950000000
Ngaglik,Sleman,710.0,200.0,5.0,3.0,1.0,1.0,900 Watt,Unfurnished,2400000000
Ngaglik,Sleman,254.0,400.0,6.0,4.0,1.0,,5500 Watt,Unfurnished,4500000000
Sewon,Bantul,281.0,275.0,8.0,8.0,2.0,,2200 Watt,Unfurnished,3000000000
Sewon,Bantul,247.0,150.0,5.0,2.0,1.0,,900 Watt,Unfurnished,500000000
Kalasan,Sleman,121.0,45.0,3.0,2.0,2.0,1.0,3300 Watt,Furnished,250000000
Depok,Sleman,100.0,91.0,2.0,1.0,1.0,,Lainnya,Unfurnished,850000000
Ngaglik,Sleman,98.0,125.0,3.0,3.0,2.0,,2200 Watt,Furnished,1750000000
Kalasan,Sleman,101.0,70.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,825000000
Ngaglik,Sleman,110.0,90.0,3.0,3.0,2.0,,2200 Watt,Unfurnished,1500000000
Sleman,Sleman,110.0,110.0,5.0,2.0,2.0,,1300 Watt,Unfurnished,790000000
Ngaglik,Sleman,125.0,160.0,4.0,3.0,2.0,2.0,Lainnya,Furnished,2550000000
Kalasan,Sleman,146.0,120.0,2.0,1.0,1.0,1.0,1300 Watt,Unfurnished,500000000
Ngaglik,Sleman,159.0,175.0,5.0,4.0,2.0,2.0,Lainnya,Semi Furnished,2600000000
Mlati,Sleman,120.0,60.0,3.0,2.0,1.0,2.0,1300 Watt,Furnished,750000000
Ngaglik,Sleman,110.0,135.0,4.0,3.0,2.0,2.0,Lainnya,Unfurnished,1650000000
Sleman,Sleman,103.0,72.0,3.0,1.0,1.0,1.0,Lainnya,Unfurnished,595000000
Depok,Sleman,130.0,150.0,3.0,3.0,2.0,2.0,Lainnya,Unfurnished,1500000000
Ngemplak,Sleman,150.0,108.0,3.0,2.0,2.0,2.0,Lainnya,Furnished,1890000000
Ngaglik,Sleman,143.0,88.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,890000000
Ngaglik,Sleman,112.0,90.0,3.0,3.0,2.0,2.0,Lainnya,Unfurnished,1250000000
Sleman,Sleman,108.0,90.0,3.0,3.0,2.0,1.0,Lainnya,Furnished,1750000000
Ngaglik,Sleman,90.0,85.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,750000000
Ngaglik,Sleman,90.0,75.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,750000000
Ngaglik,Sleman,167.0,230.0,4.0,4.0,2.0,,Lainnya,Semi Furnished,3500000000
Ngemplak,Sleman,125.0,70.0,3.0,2.0,1.0,,Lainnya,Semi Furnished,4290000000
Depok,Sleman,117.0,150.0,3.0,3.0,2.0,1.0,2200 Watt,Furnished,1950000000
Sleman,Sleman,219.0,113.0,2.0,1.0,1.0,1.0,2200 Watt,Unfurnished,1450000000
Ngaglik,Sleman,140.0,150.0,3.0,3.0,2.0,1.0,1300 Watt,Furnished,1860000000
Sleman,Yogyakarta,256.0,180.0,5.0,2.0,1.0,,Lainnya,Unfurnished,1500000000
Kaliurang,Sleman,310.0,771.0,31.0,31.0,3.0,,Lainnya,Furnished,10500000000
Condong Catur,Sleman,215.0,200.0,4.0,3.0,2.0,,Lainnya,Unfurnished,2500000000
Ngemplak,Sleman,90.0,90.0,4.0,2.0,1.0,,Lainnya,,920000000
Condong Catur,Sleman,1073.0,1100.0,41.0,41.0,2.0,1.0,Lainnya,Furnished,11000000000
Tegalrejo,Yogyakarta,293.0,200.0,2.0,2.0,1.0,,2200 Watt,Semi Furnished,3200000000
Tegalrejo,Yogyakarta,321.0,262.0,6.0,3.0,2.0,1.0,2200 Watt,,3500000000
Ngaglik,Sleman,92.0,90.0,3.0,2.0,2.0,,2200 Watt,Unfurnished,906000000
Depok,Sleman,104.0,90.0,3.0,2.0,2.0,,2200 Watt,Unfurnished,932000000
Sleman,Yogyakarta,113.0,90.0,3.0,2.0,2.0,,2200 Watt,Unfurnished,1200000000
Ngemplak,Sleman,126.0,80.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,955000000
Ngemplak,Sleman,136.0,137.0,3.0,3.0,1.0,,2200 Watt,Unfurnished,1200000000
Ngemplak,Sleman,498.0,300.0,5.0,3.0,2.0,1.0,Lainnya,Unfurnished,1850000000
Kalasan,Sleman,163.0,100.0,3.0,2.0,1.0,,900 Watt,Unfurnished,1150000000
Ngemplak,Sleman,82.0,55.0,2.0,1.0,1.0,,Lainnya,Unfurnished,669000000
Ngemplak,Sleman,108.0,70.0,3.0,2.0,1.0,,Lainnya,Semi Furnished,799000000
Kaliurang,Sleman,90.0,108.0,3.0,2.0,2.0,,Lainnya,Unfurnished,1200000000
Mlati,Sleman,208.0,100.0,,,2.0,,Lainnya,Unfurnished,860000000
Maguwoharjo,Yogyakarta,118.0,130.0,4.0,3.0,2.0,,2200 Watt,Unfurnished,1690000000
Ngemplak,Sleman,145.0,111.0,3.0,2.0,1.0,,2200 Watt,Unfurnished,1380000000
Godean,Sleman,100.0,110.0,3.0,3.0,2.0,,2200 Watt,Unfurnished,1700000000
Sleman,Yogyakarta,109.0,90.0,3.0,3.0,2.0,,1300 Watt,Unfurnished,936000000
Gamping,Sleman,52.0,52.0,1.0,1.0,1.0,1.0,3500 Watt,Furnished,287000000
Mlati,Sleman,52.0,52.0,1.0,1.0,1.0,1.0,3500 Watt,Furnished,568000000
Gamping,Sleman,52.0,52.0,1.0,1.0,1.0,1.0,3500 Watt,Furnished,287000000
Ngemplak,Sleman,123.0,90.0,3.0,2.0,1.0,,2200 Watt,Furnished,1290000000
Gondokusuman,Yogyakarta,104.0,120.0,3.0,2.0,2.0,,2200 Watt,Unfurnished,1650000000
Ngaglik,Sleman,104.0,36.0,2.0,1.0,1.0,1.0,3300 Watt,Furnished,370000000
Ngaglik,Sleman,77.0,44.0,2.0,1.0,1.0,,Lainnya,Furnished,325000000
Kasihan,Bantul,110.0,45.0,2.0,1.0,1.0,,Lainnya,Unfurnished,383000000
Ngaglik,Sleman,324.0,252.0,5.0,4.0,2.0,2.0,Lainnya,Furnished,5000000000
Ngaglik,Sleman,288.0,226.0,8.0,5.0,2.0,4.0,Lainnya,Semi Furnished,1490000000
Condong Catur,Sleman,109.0,90.0,3.0,2.0,2.0,,2200 Watt,Unfurnished,1270000000
Ngemplak,Sleman,123.0,90.0,3.0,2.0,1.0,,Lainnya,Furnished,1290000000
Gamping,Sleman,101.0,42.0,2.0,1.0,1.0,1.0,900 Watt,Unfurnished,380000000
Mlati,Sleman,74.0,60.0,3.0,2.0,1.0,1.0,900 Watt,Semi Furnished,480000000
Tegalrejo,Yogyakarta,83.0,100.0,4.0,3.0,2.0,,Lainnya,Unfurnished,1250000000
Mlati,Sleman,92.0,42.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,783000000
Godean,Sleman,110.0,93.0,3.0,2.0,2.0,,2200 Watt,Unfurnished,890000000
Sleman,Yogyakarta,148.0,200.0,4.0,4.0,2.0,1.0,2200 Watt,Unfurnished,3190000000
Gamping,Sleman,134.0,178.0,5.0,5.0,2.0,2.0,2200 Watt,Semi Furnished,3190000000
Ngaglik,Sleman,146.0,100.0,3.0,2.0,1.0,1.0,1300 Watt,Unfurnished,1280000000
Sleman,Sleman,443.0,550.0,11.0,8.0,2.0,,3500 Watt,Semi Furnished,7100000000
Ngaglik,Sleman,110.0,120.0,3.0,2.0,2.0,1.0,Lainnya,,1600000000
Ngaglik,Sleman,107.0,90.0,3.0,2.0,2.0,1.0,Lainnya,,1100000000
Ngaglik,Sleman,229.0,250.0,3.0,2.0,1.0,1.0,1300 Watt,Unfurnished,3500000000
Sleman,Sleman,338.0,400.0,11.0,5.0,2.0,,2200 Watt,Unfurnished,3500000000
Gondokusuman,Yogyakarta,136.0,136.0,5.0,2.0,1.0,,2200 Watt,Unfurnished,800000000
Sleman,Yogyakarta,108.0,70.0,3.0,2.0,1.0,,Lainnya,Unfurnished,870000000
Kasihan,Bantul,171.0,220.0,4.0,4.0,2.0,1.0,Lainnya,Unfurnished,2500000000
Gamping,Sleman,117.0,110.0,4.0,3.0,2.0,1.0,Lainnya,Unfurnished,1500000000
Bantul,Yogyakarta,84.0,60.0,3.0,1.0,1.0,,1300 Watt,Unfurnished,495000000
Ngaglik,Sleman,120.0,65.0,3.0,2.0,1.0,1.0,1300 Watt,,750000000
Sleman,Sleman,115.0,78.0,3.0,2.0,1.0,1.0,1300 Watt,,985000000
Sleman,Yogyakarta,103.0,75.0,3.0,1.0,1.0,,Lainnya,,565000000
Maguwoharjo,Yogyakarta,286.0,200.0,3.0,2.0,,,1300 Watt,Semi Furnished,1500000000
Sleman,Yogyakarta,346.0,176.0,7.0,4.0,1.0,1.0,2200 Watt,,3900000000
Sleman,Yogyakarta,148.0,170.0,4.0,2.0,2.0,,2200 Watt,Unfurnished,2700000000
Pogung,Yogyakarta,443.0,215.0,4.0,3.0,2.0,1.0,3500 Watt,Unfurnished,5350000000
Berbah,Sleman,85.0,60.0,1.0,1.0,1.0,,Lainnya,,580000000
Ngaglik,Sleman,126.0,100.0,2.0,3.0,2.0,,Lainnya,Unfurnished,2500000000
Depok,Sleman,243.0,370.0,20.0,20.0,3.0,16.0,Lainnya,Furnished,3400000000
Godean,Sleman,114.0,80.0,3.0,3.0,2.0,2.0,Lainnya,Furnished,795000000
Ngaglik,Sleman,120.0,70.0,3.0,2.0,1.0,,Lainnya,Unfurnished,750000000
Godean,Sleman,90.0,45.0,2.0,1.0,1.0,,Lainnya,,470000000
Godean,Sleman,90.0,45.0,2.0,1.0,1.0,,Lainnya,Unfurnished,450000000
Pakem,Sleman,684.0,289.0,3.0,4.0,1.0,,4400 Watt,Semi Furnished,3680000000
Ngaglik,Sleman,108.0,90.0,3.0,3.0,2.0,,2200 Watt,Furnished,1700000000
Pakualaman,Yogyakarta,838.0,400.0,3.0,4.0,1.0,2.0,3500 Watt,Semi Furnished,12500000000
Sleman,Sleman,128.0,210.0,3.0,3.0,2.0,1.0,4400 Watt,Unfurnished,2700000000
Depok,Sleman,104.0,120.0,3.0,2.0,2.0,,2200 Watt,Unfurnished,1600000000
Sleman,Sleman,106.0,90.0,3.0,3.0,2.0,,Lainnya,Unfurnished,900000000
Umbulharjo,Yogyakarta,113.0,90.0,3.0,2.0,2.0,,2200 Watt,Unfurnished,1200000000
Ngaglik,Sleman,113.0,90.0,3.0,2.0,2.0,,2200 Watt,Unfurnished,1200000000
Depok,Sleman,108.0,90.0,3.0,2.0,2.0,,2200 Watt,Unfurnished,1200000000
Ngemplak,Sleman,165.0,110.0,4.0,3.0,1.0,,Lainnya,Furnished,1780000000
Maguwoharjo,Yogyakarta,104.0,125.0,3.0,3.0,2.0,,2200 Watt,Semi Furnished,1550000000
Pogung,Yogyakarta,137.0,40.0,2.0,2.0,2.0,1.0,3300 Watt,Furnished,350000000
Mantrijeron,Yogyakarta,73.0,45.0,2.0,1.0,1.0,,900 Watt,,450000000
Kasihan,Bantul,80.0,36.0,2.0,1.0,1.0,,900 Watt,Unfurnished,370000000
Gamping,Sleman,124.0,100.0,3.0,2.0,1.0,,1300 Watt,Furnished,950000000
Kasihan,Bantul,80.0,40.0,2.0,1.0,1.0,,900 Watt,Unfurnished,450000000
Bantul,Yogyakarta,330.0,78.0,3.0,2.0,1.0,1.0,1300 Watt,Semi Furnished,660000000
Sleman,Sleman,110.0,70.0,3.0,2.0,1.0,,Lainnya,Unfurnished,900000000
Kalasan,Sleman,550.0,220.0,3.0,1.0,1.0,2.0,,Furnished,3300000000
Ngemplak,Sleman,190.0,300.0,6.0,4.0,2.0,4.0,Lainnya,Unfurnished,980000000
Kalasan,Sleman,90.0,45.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,599000000
Ngemplak,Sleman,82.0,55.0,2.0,1.0,1.0,,Lainnya,Unfurnished,690000000
Kalasan,Sleman,200.0,120.0,3.0,2.0,1.0,,Lainnya,Furnished,1850000000
Ngaglik,Sleman,96.0,55.0,3.0,1.0,1.0,,Lainnya,Unfurnished,579000000
Maguwoharjo,Yogyakarta,165.0,110.0,4.0,3.0,2.0,,Lainnya,Furnished,1790000000
Banguntapan,Bantul,61.0,45.0,2.0,1.0,1.0,,Lainnya,Furnished,485000000
Kalasan,Sleman,90.0,60.0,3.0,2.0,1.0,,Lainnya,Unfurnished,725000000
Godean,Sleman,113.0,80.0,3.0,2.0,2.0,2.0,Lainnya,Furnished,822000000
Sewon,Bantul,80.0,65.0,3.0,2.0,2.0,,Lainnya,Unfurnished,765000000
Godean,Sleman,108.0,100.0,3.0,3.0,2.0,,2200 Watt,Unfurnished,1570000000
Banguntapan,Bantul,74.0,48.0,2.0,1.0,1.0,,Lainnya,Unfurnished,499000000
Kalasan,Sleman,101.0,65.0,3.0,2.0,1.0,,Lainnya,Unfurnished,825000000
Mlati,Sleman,161.0,110.0,3.0,2.0,1.0,1.0,2200 Watt,Semi Furnished,1350000000
Sleman,Yogyakarta,161.0,110.0,3.0,2.0,1.0,1.0,2200 Watt,Semi Furnished,1350000000
Mlati,Sleman,161.0,100.0,3.0,2.0,1.0,1.0,2200 Watt,Semi Furnished,1350000000
Mlati,Sleman,161.0,110.0,3.0,2.0,1.0,1.0,2200 Watt,Semi Furnished,1350000000
Mlati,Sleman,161.0,110.0,3.0,2.0,1.0,1.0,2200 Watt,Semi Furnished,1350000000
Mlati,Sleman,161.0,110.0,3.0,2.0,1.0,1.0,2200 Watt,Semi Furnished,1350000000
Mlati,Sleman,161.0,110.0,2.0,2.0,1.0,,2200 Watt,Semi Furnished,1350000000
Sleman,Sleman,161.0,110.0,3.0,2.0,1.0,1.0,2200 Watt,Semi Furnished,1350000000
Kulonprogo,Kulon Progo,127.0,50.0,3.0,1.0,1.0,,1300 Watt,Unfurnished,362000000
Kaliurang,Sleman,139.0,110.0,3.0,3.0,2.0,,2200 Watt,Unfurnished,1350000000
Sleman,Sleman,101.0,90.0,3.0,2.0,2.0,,Lainnya,Unfurnished,857000000
Kaliurang,Yogyakarta,139.0,107.0,3.0,3.0,2.0,,Lainnya,Unfurnished,1290000000
Mlati,Sleman,110.0,250.0,4.0,4.0,2.0,,1300 Watt,Semi Furnished,1700000000
Godean,Sleman,103.0,70.0,3.0,2.0,1.0,,2200 Watt,Unfurnished,700000000
Gamping,Sleman,148.0,200.0,4.0,4.0,2.0,,Lainnya,Unfurnished,3650000000
Turi,Sleman,80.0,40.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,435000000
Gamping,Sleman,154.0,118.0,3.0,2.0,2.0,,2200 Watt,Unfurnished,1200000000
Sleman,Sleman,122.0,50.0,2.0,2.0,1.0,,1300 Watt,Semi Furnished,499000000
Bantul,Yogyakarta,70.0,60.0,3.0,1.0,1.0,,1300 Watt,Furnished,415000000
Ngaglik,Sleman,120.0,65.0,3.0,2.0,1.0,,Lainnya,Unfurnished,825000000
Sleman,Sleman,101.0,70.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,550000000
Ngemplak,Sleman,132.0,70.0,3.0,2.0,1.0,,Lainnya,Unfurnished,830000000
Maguwoharjo,Yogyakarta,333.0,444.0,5.0,6.0,2.0,2.0,7700 Watt,Unfurnished,4000000000
Mlati,Sleman,701.0,300.0,4.0,3.0,1.0,,Lainnya,Unfurnished,3300000000
Kaliurang,Yogyakarta,130.0,90.0,3.0,2.0,1.0,,Lainnya,Unfurnished,760000000
Maguwoharjo,Yogyakarta,122.0,85.0,3.0,2.0,1.0,,Lainnya,Unfurnished,870000000
Kaliurang,Sleman,120.0,65.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,825000000
Ngaglik,Sleman,110.0,120.0,2.0,1.0,1.0,1.0,1300 Watt,Unfurnished,450000000
Seturan,Yogyakarta,126.0,180.0,10.0,10.0,2.0,3.0,Lainnya,Furnished,3200000000
Depok,Sleman,115.0,78.0,3.0,2.0,1.0,1.0,1300 Watt,Unfurnished,985000000
Godean,Sleman,155.0,90.0,3.0,2.0,1.0,,Lainnya,Unfurnished,850000000
Ngaglik,Sleman,565.0,250.0,5.0,2.0,1.0,,Lainnya,Unfurnished,5270000000
Ngaglik,Sleman,180.0,220.0,4.0,3.0,2.0,,5500 Watt,Furnished,4500000000
Gondokusuman,Yogyakarta,158.0,120.0,4.0,3.0,2.0,,2200 Watt,Unfurnished,1350000000
Condong Catur,Sleman,188.0,100.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,1450000000
Kalasan,Sleman,80.0,36.0,2.0,1.0,1.0,,Lainnya,Unfurnished,650000000
Kalasan,Sleman,80.0,36.0,2.0,1.0,1.0,,Lainnya,Unfurnished,650000000
Ngaglik,Sleman,121.0,45.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,690000000
Depok,Sleman,293.0,150.0,6.0,5.0,1.0,,5500 Watt,,2150000000
Depok,Sleman,346.0,176.0,6.0,4.0,2.0,1.0,2200 Watt,Unfurnished,3000000000
Ngemplak,Sleman,76.0,40.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,547000000
Kasihan,Bantul,598.0,364.0,4.0,3.0,2.0,,3500 Watt,Unfurnished,5200000000
Sleman,Yogyakarta,89.0,150.0,2.0,3.0,2.0,1.0,Lainnya,Semi Furnished,650000000
Sleman,Yogyakarta,117.0,100.0,3.0,3.0,2.0,1.0,2200 Watt,Unfurnished,2100000000
Sleman,Sleman,375.0,100.0,3.0,1.0,1.0,,Lainnya,Unfurnished,950000000
Sleman,Sleman,780.0,850.0,7.0,9.0,2.0,,Lainnya,Unfurnished,17500000000
Umbulharjo,Yogyakarta,62.0,80.0,3.0,2.0,2.0,,Lainnya,Unfurnished,1050000000
Depok,Sleman,85.0,65.0,3.0,2.0,2.0,,Lainnya,Unfurnished,1200000000
Gedong Tengen,Yogyakarta,316.0,375.0,5.0,5.0,2.0,1.0,Lainnya,Furnished,7500000000
Ngaglik,Sleman,146.0,106.0,3.0,2.0,1.0,,Lainnya,Unfurnished,1350000000
Ngaglik,Sleman,129.0,130.0,3.0,3.0,2.0,,Lainnya,Unfurnished,1700000000
Ngaglik,Sleman,110.0,150.0,4.0,3.0,2.0,,Lainnya,Unfurnished,1650000000
Ngaglik,Sleman,108.0,90.0,3.0,2.0,2.0,,Lainnya,Unfurnished,1270000000
Sleman,Yogyakarta,102.0,65.0,3.0,2.0,2.0,,Lainnya,Unfurnished,867500000
Mlati,Sleman,139.0,100.0,3.0,3.0,2.0,,Lainnya,Semi Furnished,1500000000
Sleman,Sleman,80.0,80.0,2.0,1.0,1.0,,Lainnya,Unfurnished,425000000
Tempel,Sleman,212.0,100.0,3.0,1.0,1.0,,Lainnya,Unfurnished,350000000
Tegalrejo,Yogyakarta,320.0,200.0,4.0,2.0,1.0,,Lainnya,Semi Furnished,4000000000
Mlati,Sleman,298.0,400.0,9.0,3.0,1.0,,Lainnya,Unfurnished,3300000000
Kalasan,Sleman,121.0,45.0,3.0,1.0,1.0,1.0,3300 Watt,Furnished,250000000
Godean,Sleman,110.0,45.0,2.0,1.0,1.0,1.0,3300 Watt,Furnished,350000000
Sewon,Bantul,72.0,45.0,2.0,1.0,1.0,,Lainnya,Unfurnished,650000000
Mlati,Sleman,114.0,150.0,5.0,5.0,2.0,,Lainnya,Unfurnished,2200000000
Ngaglik,Sleman,105.0,157.0,,,1.0,,Lainnya,,1900000000
Ngaglik,Sleman,447.0,500.0,28.0,28.0,3.0,,Lainnya,Unfurnished,7800000000
Caturtunggal,Yogyakarta,137.0,250.0,13.0,13.0,2.0,2.0,,Furnished,3000000000
Ngaglik,Sleman,150.0,170.0,3.0,3.0,2.0,,Lainnya,Furnished,1750000000
Mlati,Sleman,150.0,250.0,11.0,12.0,2.0,,,Furnished,2500000000
Caturtunggal,Yogyakarta,125.0,220.0,14.0,15.0,2.0,2.0,,Furnished,3300000000
Condong Catur,Sleman,119.0,166.0,5.0,3.0,2.0,,Lainnya,,1500000000
Ngaglik,Sleman,215.0,270.0,13.0,13.0,2.0,,Lainnya,Furnished,2975000000
Mlati,Sleman,130.0,180.0,10.0,10.0,1.0,,Lainnya,,2900000000
Ngemplak,Sleman,498.0,300.0,5.0,3.0,1.0,1.0,1300 Watt,,1900000000
Depok,Sleman,101.0,80.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,1100000000
Sleman,Sleman,102.0,90.0,3.0,3.0,2.0,,2200 Watt,Unfurnished,900000000
Pogung,Yogyakarta,137.0,200.0,10.0,10.0,2.0,,1300 Watt,Furnished,3150000000
Caturtunggal,Sleman,209.0,250.0,4.0,3.0,2.0,3.0,Lainnya,Semi Furnished,3000000000
Ngaglik,Sleman,220.0,270.0,10.0,10.0,1.0,,Lainnya,Unfurnished,2300000000
Sleman,Yogyakarta,106.0,90.0,3.0,3.0,2.0,,2200 Watt,Unfurnished,900000000
Sleman,Sleman,85.0,45.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,565000000
Sleman,Yogyakarta,110.0,65.0,3.0,1.0,1.0,,1300 Watt,Unfurnished,850000000
Sleman,Sleman,136.0,100.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,870000000
Demangan,Yogyakarta,782.0,162.0,5.0,2.0,1.0,,1300 Watt,,4000000000
Ngaglik,Sleman,145.0,100.0,4.0,2.0,1.0,,Lainnya,,1200000000
Sewon,Bantul,596.0,170.0,3.0,3.0,1.0,2.0,Lainnya,,2200000000
Ngaglik,Sleman,130.0,155.0,3.0,3.0,2.0,,3300 Watt,,1900000000
Ngaglik,Sleman,120.0,70.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,750000000
Ngemplak,Sleman,115.0,78.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,985000000
Banguntapan,Bantul,117.0,75.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,650000000
Banguntapan,Bantul,61.0,40.0,2.0,1.0,1.0,1.0,Lainnya,Unfurnished,485000000
Mlati,Sleman,210.0,240.0,5.0,4.0,2.0,1.0,Lainnya,Unfurnished,3800000000
Mlati,Sleman,99.0,70.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,605000000
Sewon,Bantul,85.0,50.0,2.0,1.0,,1.0,Lainnya,Unfurnished,495000000
Condong Catur,Sleman,220.0,400.0,11.0,12.0,2.0,3.0,3500 Watt,Furnished,3500000000
