district,city,landSize,buildingSize,bedrooms,bathrooms,floors,garages,electricity,furnishing,priceNumeric
,,90.68,60.0,2.0,1.0,,,1300 Watt,,485000000
,,90.49,60.0,2.0,1.0,,,1300 Watt,,485000000
,,90.29,60.0,2.0,1.0,,,1300 Watt,,485000000
,,90.08,60.0,2.0,1.0,,,1300 Watt,,485000000
,,93.58,60.0,2.0,1.0,,,1300 Watt,,485000000
Sleman,Sleman,100.0,60.0,3.0,2.0,1.0,,Lainnya,Unfurnished,585000000
Ngaglik,Sleman,149.0,120.0,3.0,2.0,1.0,,1300 Watt,,1390000000
Gamping,Sleman,260.0,580.0,8.0,4.0,1.0,1.0,Lainnya,Unfurnished,8400000000
Kasihan,Bantul,64.0,40.0,2.0,1.0,1.0,1.0,Lainnya,Unfurnished,435000000
Banguntapan,Bantul,78.0,50.0,2.0,1.0,1.0,,Lainnya,Furnished,799000000
Sewon,Bantul,81.0,65.0,3.0,2.0,2.0,,1300 Watt,Unfurnished,765000000
Maguwoharjo,Yogyakarta,130.0,126.0,3.0,3.0,2.0,,3500 Watt,Unfurnished,2600000000
Pogung,Yogyakarta,393.0,300.0,12.0,12.0,2.0,,Lainnya,Furnished,5500000000
Wates,Kulon Progo,208.0,85.0,2.0,2.0,1.0,,1300 Watt,Semi Furnished,799000000
Ngaglik,Sleman,1059.0,400.0,5.0,4.0,2.0,2.0,Lainnya,Semi Furnished,5800000000
Purwomartani,Sleman,200.0,120.0,3.0,2.0,1.0,,2200 Watt,Furnished,1850000000
Ngaglik,Sleman,127.0,75.0,3.0,2.0,1.0,,2200 Watt,Furnished,1350000000
Depok,Sleman,331.0,420.0,5.0,6.0,2.0,,Lainnya,Unfurnished,4700000000
Ngaglik,Sleman,232.0,175.0,4.0,5.0,2.0,1.0,Lainnya,Unfurnished,3300000000
Gamping,Sleman,,,,,,,,,911000000
,,94.0,65.0,2.0,2.0,,,3500 Watt,,911000000
,,110.0,70.0,2.0,2.0,,,3500 Watt,,1097000000
Mergangsan,Yogyakarta,255.0,360.0,12.0,12.0,2.0,1.0,Lainnya,Unfurnished,2300000000
Sleman,Yogyakarta,80.0,120.0,3.0,3.0,2.0,,1300 Watt,Unfurnished,750000000
Kalasan,Sleman,101.0,70.0,3.0,2.0,1.0,1.0,Lainnya,Unfurnished,825000000
Kalasan,Sleman,,,,,,,,,1600000000
,,118.0,75.0,3.0,2.0,,,3500 Watt,,1900000000
,,108.0,70.0,3.0,2.0,,,3500 Watt,,1600000000
Kalasan,Sleman,194.0,140.0,3.0,2.0,1.0,,Lainnya,Furnished,1600000000
Ngemplak,Sleman,119.0,85.0,3.0,2.0,1.0,,Lainnya,Furnished,1200000000
Ngemplak,Sleman,92.0,90.0,3.0,3.0,2.0,,Lainnya,Unfurnished,910000000
Gedong Tengen,Yogyakarta,793.0,321.0,3.0,2.0,1.0,,Lainnya,Unfurnished,11000000000
Umbulharjo,Yogyakarta,100.0,135.0,3.0,2.0,2.0,,Lainnya,Furnished,1450000000
Sleman,Sleman,210.0,190.0,,,1.0,,Lainnya,Unfurnished,380000000
Gondokusuman,Yogyakarta,782.0,161.0,5.0,2.0,1.0,3.0,1300 Watt,Unfurnished,4700000000
Pogung,Yogyakarta,291.0,250.0,5.0,3.0,2.0,2.0,Lainnya,Unfurnished,3290000000
Mlati,Sleman,173.0,160.0,3.0,3.0,2.0,,Lainnya,Semi Furnished,1600000000
Ngemplak,Sleman,120.0,80.0,3.0,2.0,1.0,,Lainnya,Furnished,825000000
Kalasan,Sleman,102.0,70.0,3.0,2.0,1.0,,Lainnya,Unfurnished,650000000
Ngaglik,Sleman,255.0,225.0,3.0,2.0,1.0,1.0,Lainnya,Furnished,3600000000
Ngaglik,Sleman,126.0,100.0,2.0,3.0,2.0,,3500 Watt,Unfurnished,2490000000
Ngaglik,Sleman,123.0,110.0,3.0,3.0,2.0,,Lainnya,Unfurnished,1300000000
Gamping,Sleman,,,,,,,,,1765000000
,,75.0,118.0,3.0,2.0,,,Lainnya,,1765000000
,,70.0,108.0,2.0,2.0,,,Lainnya,,2000000000
Ngaglik,Sleman,105.0,120.0,3.0,3.0,2.0,,Lainnya,Furnished,1500000000
Gamping,Sleman,260.0,580.0,8.0,6.0,4.0,3.0,Lainnya,Furnished,8400000000
Pogung,Yogyakarta,98.0,150.0,5.0,1.0,2.0,1.0,Lainnya,,1490000000
Godean,Sleman,,,,,,,,,670000000
,,90.0,55.0,2.0,1.0,,,1300 Watt,,670000000
,,90.0,90.0,3.0,3.0,,,2200 Watt,,965000000
,,100.0,100.0,3.0,3.0,,,2200 Watt,,1050000000
Banguntapan,Bantul,61.0,40.0,2.0,1.0,1.0,,Lainnya,,485000000
Gamping,Sleman,101.0,45.0,2.0,1.0,1.0,,1300 Watt,Unfurnished,450000000
Kaliurang,Sleman,1250.0,450.0,4.0,3.0,1.0,,2200 Watt,Semi Furnished,3800000000
Patuk,Gunung Kidul,,,,,,,,,320000000
,,36.0,72.0,2.0,1.0,,,1300 Watt,,320000000
,,43.0,72.0,2.0,1.0,,,1300 Watt,,379000000
,,50.0,84.0,3.0,1.0,,,1300 Watt,,550000000
,,72.0,120.0,3.0,2.0,,,2200 Watt,,789000000
,,80.0,140.0,3.0,3.0,,,2200 Watt,,1100000000
Ngaglik,Sleman,145.0,111.0,3.0,2.0,1.0,,2200 Watt,Unfurnished,1370000000
Mlati,Sleman,100.0,252.0,4.0,3.0,1.0,1.0,Lainnya,Unfurnished,1980000000
Sleman,Sleman,240.0,480.0,7.0,4.0,1.0,3.0,3300 Watt,Furnished,3500000000
Wirobrajan,Yogyakarta,,,,,,,,,1199000000
,,78.0,80.0,3.0,2.0,,,2200 Watt,,1427000000
,,72.0,76.0,3.0,2.0,,1.0,2200 Watt,,1199000000
Sleman,Sleman,787.0,727.0,29.0,29.0,1.0,4.0,Lainnya,Unfurnished,10000000000
Sleman,Sleman,122.0,65.0,3.0,2.0,1.0,2.0,Lainnya,,750000000
Mlati,Sleman,122.0,170.0,5.0,3.0,2.0,1.0,Lainnya,Furnished,1300000000
Condong Catur,Sleman,105.0,155.0,4.0,4.0,2.0,1.0,Lainnya,,1850000000
Sleman,Sleman,108.0,38.0,2.0,1.0,1.0,,2200 Watt,Unfurnished,510000000
Ngaglik,Sleman,232.0,175.0,5.0,5.0,2.0,2.0,Lainnya,Unfurnished,3300000000
Kalasan,Sleman,107.0,43.0,2.0,1.0,1.0,,900 Watt,Unfurnished,485000000
Kaliurang,Sleman,106.0,70.0,2.0,2.0,1.0,,1300 Watt,Semi Furnished,600000000
Sewon,Bantul,80.0,65.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,765000000
Mlati,Sleman,124.0,135.0,3.0,3.0,2.0,,2200 Watt,Unfurnished,1600000000
Ngaglik,Sleman,103.0,120.0,3.0,3.0,2.0,1.0,Lainnya,Semi Furnished,1650000000
Ngaglik,Sleman,102.0,90.0,3.0,3.0,2.0,1.0,Lainnya,Unfurnished,900000000
Ngaglik,Sleman,90.0,90.0,3.0,3.0,2.0,,Lainnya,Unfurnished,924700000
Sleman,Sleman,200.0,107.0,3.0,3.0,2.0,,2200 Watt,Unfurnished,1500000000
Kasihan,Bantul,77.0,48.0,2.0,1.0,1.0,1.0,Lainnya,Unfurnished,575000000
Kasihan,Bantul,86.0,60.0,3.0,1.0,1.0,2.0,Lainnya,,495000000
Caturtunggal,Sleman,211.0,250.0,11.0,12.0,2.0,2.0,Lainnya,,3300000000
Kraton,Yogyakarta,746.0,476.0,5.0,6.0,1.0,1.0,Lainnya,,8450000000
Gamping,Sleman,126.0,120.0,4.0,3.0,1.0,,2200 Watt,Unfurnished,2000000000
Sleman,Sleman,139.0,175.0,4.0,4.0,2.0,,Lainnya,Unfurnished,1900000000
Sleman,Yogyakarta,115.0,170.0,4.0,4.0,2.0,,Lainnya,Unfurnished,2080000000
Purwomartani,Sleman,180.0,180.0,4.0,4.0,2.0,1.0,Lainnya,Unfurnished,2300000000
Sleman,Sleman,115.0,170.0,4.0,4.0,2.0,,Lainnya,Furnished,2080000000
Depok,Sleman,131.0,130.0,3.0,3.0,2.0,,3500 Watt,Furnished,3700000000
Sleman,Sleman,108.0,38.0,2.0,1.0,1.0,,2200 Watt,Unfurnished,510000000
Mantrijeron,Yogyakarta,120.0,90.0,4.0,4.0,2.0,,Lainnya,Furnished,1800000000
Ngaglik,Sleman,125.0,160.0,4.0,3.0,2.0,,2200 Watt,Unfurnished,2490000000
Wirobrajan,Yogyakarta,301.0,200.0,4.0,2.0,2.0,,Lainnya,Unfurnished,4175000000
Umbulharjo,Yogyakarta,450.0,300.0,15.0,6.0,,,2200 Watt,Unfurnished,1600000000
Condong Catur,Sleman,488.0,321.0,6.0,5.0,2.0,2.0,3300 Watt,Unfurnished,3600000000
Ngaglik,Sleman,45.0,45.0,1.0,1.0,1.0,1.0,2200 Watt,Furnished,465000000
Condong Catur,Sleman,395.0,540.0,14.0,15.0,3.0,,Lainnya,Furnished,7500000000
Ngemplak,Sleman,155.0,170.0,4.0,3.0,2.0,,2200 Watt,Unfurnished,2400000000
Sleman,Yogyakarta,108.0,38.0,2.0,1.0,1.0,,2200 Watt,Unfurnished,510000000
Sleman,Sleman,108.0,45.0,2.0,1.0,1.0,,2200 Watt,Unfurnished,580000000
Depok,Sleman,101.0,110.0,3.0,2.0,1.0,,2200 Watt,Unfurnished,1420000000
Ngaglik,Sleman,180.0,205.0,4.0,3.0,2.0,,7700 Watt,Furnished,6250000000
Ngaglik,Sleman,145.0,100.0,4.0,2.0,1.0,,Lainnya,Unfurnished,1250000000
Seturan,Yogyakarta,249.0,400.0,14.0,14.0,2.0,,Lainnya,Furnished,3700000000
Sleman,Yogyakarta,223.0,200.0,3.0,2.0,2.0,,2200 Watt,Furnished,2000000000
Banguntapan,Bantul,76.0,60.0,2.0,2.0,1.0,1.0,Lainnya,,759000000
Purwomartani,Sleman,200.0,120.0,3.0,2.0,1.0,,2200 Watt,Furnished,1850000000
Ngaglik,Sleman,520.0,500.0,5.0,5.0,2.0,1.0,Lainnya,Unfurnished,6000000000
Caturtunggal,Sleman,143.0,180.0,4.0,3.0,2.0,,Lainnya,Semi Furnished,2750000000
Pogung,Yogyakarta,201.0,188.0,10.0,4.0,1.0,3.0,Lainnya,Furnished,2850000000
Ngemplak,Sleman,122.0,85.0,3.0,2.0,1.0,,Lainnya,Unfurnished,870000000
Ngemplak,Sleman,115.0,70.0,3.0,2.0,1.0,,Lainnya,Unfurnished,765000000
Ngaglik,Sleman,98.0,125.0,3.0,3.0,2.0,,Lainnya,Furnished,1750000000
Ngemplak,Sleman,97.0,100.0,3.0,2.0,3.0,,Lainnya,Furnished,1100000000
Banguntapan,Bantul,61.0,45.0,2.0,1.0,1.0,,Lainnya,Furnished,485000000
Sewon,Bantul,145.0,290.0,3.0,2.0,2.0,,1300 Watt,Unfurnished,1900000000
Depok,Sleman,939.0,806.0,20.0,10.0,2.0,7.0,Lainnya,Semi Furnished,5700000000
Banguntapan,Bantul,111.0,178.0,5.0,3.0,2.0,,Lainnya,Furnished,1850000000
Sewon,Bantul,24.0,240.0,3.0,3.0,1.0,,1300 Watt,Unfurnished,985000000
Gamping,Sleman,80.0,40.0,2.0,1.0,,,1300 Watt,Unfurnished,395000000
Mlati,Sleman,231.0,242.0,4.0,2.0,2.0,1.0,Lainnya,Unfurnished,3250000000
Sleman,Sleman,100.0,60.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,585000000
Condong Catur,Sleman,250.0,200.0,4.0,3.0,1.0,1.0,2200 Watt,Furnished,1700000000
Purwomartani,Sleman,398.0,144.0,4.0,3.0,1.0,,Lainnya,Semi Furnished,1950000000
Ngemplak,Sleman,449.0,140.0,4.0,2.0,1.0,,Lainnya,Unfurnished,2000000000
Purwomartani,Sleman,170.0,1120.0,4.0,2.0,1.0,,Lainnya,Unfurnished,1380000000
Sleman,Sleman,100.0,60.0,2.0,2.0,1.0,,1300 Watt,Unfurnished,570000000
Sleman,Sleman,100.0,60.0,3.0,2.0,1.0,,2200 Watt,Unfurnished,585000000
Purwomartani,Sleman,70.0,45.0,2.0,1.0,1.0,,Lainnya,Unfurnished,490000000
Ngemplak,Sleman,116.0,60.0,3.0,2.0,1.0,,1300 Watt,Unfurnished,450000000
Ngaglik,Sleman,280.0,600.0,6.0,5.0,3.0,3.0,Lainnya,Semi Furnished,7700000000
Sewon,Bantul,300.0,250.0,,,1.0,,1300 Watt,Unfurnished,1900000000
Seturan,Yogyakarta,290.0,500.0,19.0,19.0,2.0,7.0,1300 Watt,,5500000000
Mlati,Sleman,100.0,110.0,4.0,1.0,2.0,,Lainnya,,900000000
Maguwoharjo,Yogyakarta,140.0,125.0,3.0,3.0,2.0,,Lainnya,,3800000000
Ngaglik,Sleman,128.0,150.0,3.0,2.0,1.0,,2200 Watt,Unfurnished,1500000000
